triphone	desired number	missing number
C0er-C0l+C0ing    	764 	724 
C0iou-C0n+C0ian   	491 	430 
C0l-C0ing+C0i     	490 	430 
C0l-C0ing+C0l     	456 	397 
C0i-C0n+C0ian     	540 	393 
sil-C0i+C0j       	482 	388 
C0ing-C0l+C0ing   	411 	351 
sil-C0er+C0l      	345 	338 

step: 33
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	812 
C0er-C0l+C0ing    	764 	723 
C0iou-C0n+C0ian   	491 	430 
C0l-C0ing+C0i     	490 	430 
C0l-C0ing+C0l     	456 	396 
C0i-C0n+C0ian     	540 	392 
sil-C0i+C0j       	482 	388 
C0ing-C0l+C0ing   	411 	350 
sil-C0er+C0l      	345 	338 

step: 34
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	810 
C0er-C0l+C0ing    	764 	723 
C0iou-C0n+C0ian   	491 	430 
C0l-C0ing+C0i     	490 	430 
C0l-C0ing+C0l     	456 	396 
C0i-C0n+C0ian     	540 	392 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	350 
sil-C0er+C0l      	345 	338 

step: 35
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	810 
C0er-C0l+C0ing    	764 	722 
C0l-C0ing+C0i     	490 	430 
C0iou-C0n+C0ian   	491 	429 
C0l-C0ing+C0l     	456 	395 
C0i-C0n+C0ian     	540 	392 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	349 
sil-C0er+C0l      	345 	338 

step: 36
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	810 
C0er-C0l+C0ing    	764 	721 
C0iou-C0n+C0ian   	491 	429 
C0l-C0ing+C0i     	490 	429 
C0l-C0ing+C0l     	456 	395 
C0i-C0n+C0ian     	540 	391 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	349 
sil-C0er+C0l      	345 	338 

step: 37
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	810 
C0er-C0l+C0ing    	764 	720 
C0iou-C0n+C0ian   	491 	429 
C0l-C0ing+C0i     	490 	428 
C0l-C0ing+C0l     	456 	395 
C0i-C0n+C0ian     	540 	391 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	349 
sil-C0er+C0l      	345 	338 

step: 38
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	810 
C0er-C0l+C0ing    	764 	719 
C0iou-C0n+C0ian   	491 	429 
C0l-C0ing+C0i     	490 	428 
C0l-C0ing+C0l     	456 	394 
C0i-C0n+C0ian     	540 	390 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	348 
sil-C0er+C0l      	345 	338 

step: 39
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	810 
C0er-C0l+C0ing    	764 	718 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	428 
C0l-C0ing+C0l     	456 	392 
C0i-C0n+C0ian     	540 	390 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	347 
sil-C0er+C0l      	345 	338 

step: 40
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	810 
C0er-C0l+C0ing    	764 	718 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	428 
C0l-C0ing+C0l     	456 	392 
C0i-C0n+C0ian     	540 	390 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	347 
sil-C0er+C0l      	345 	338 

step: 41
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	810 
C0er-C0l+C0ing    	764 	717 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	428 
C0l-C0ing+C0l     	456 	391 
C0i-C0n+C0ian     	540 	390 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	346 
sil-C0er+C0l      	345 	338 

step: 42
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	810 
C0er-C0l+C0ing    	764 	715 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	426 
C0l-C0ing+C0l     	456 	391 
C0i-C0n+C0ian     	540 	390 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	346 
sil-C0er+C0l      	345 	338 

step: 43
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	808 
C0er-C0l+C0ing    	764 	715 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	426 
C0l-C0ing+C0l     	456 	391 
C0i-C0n+C0ian     	540 	390 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	346 
sil-C0er+C0l      	345 	338 

step: 44
C0n-C0ian+sp      	1187	920 
C0i-C0j+C0iou     	1025	806 
C0er-C0l+C0ing    	764 	713 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	426 
C0i-C0n+C0ian     	540 	389 
C0l-C0ing+C0l     	456 	388 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	343 
sil-C0er+C0l      	345 	338 

step: 45
C0n-C0ian+sp      	1187	920 
C0i-C0j+C0iou     	1025	806 
C0er-C0l+C0ing    	764 	712 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	425 
C0i-C0n+C0ian     	540 	389 
C0l-C0ing+C0l     	456 	388 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	343 
sil-C0er+C0l      	345 	338 

step: 46
C0n-C0ian+sp      	1187	920 
C0i-C0j+C0iou     	1025	806 
C0er-C0l+C0ing    	764 	712 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	425 
C0i-C0n+C0ian     	540 	389 
C0l-C0ing+C0l     	456 	388 
sil-C0i+C0j       	482 	387 
C0ing-C0l+C0ing   	411 	343 
sil-C0er+C0l      	345 	338 

step: 47
C0n-C0ian+sp      	1187	920 
C0i-C0j+C0iou     	1025	804 
C0er-C0l+C0ing    	764 	711 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	425 
C0i-C0n+C0ian     	540 	389 
sil-C0i+C0j       	482 	386 
C0l-C0ing+C0l     	456 	386 
C0ing-C0l+C0ing   	411 	341 
sil-C0er+C0l      	345 	338 

step: 48
C0n-C0ian+sp      	1187	920 
C0i-C0j+C0iou     	1025	804 
C0er-C0l+C0ing    	764 	711 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	425 
C0i-C0n+C0ian     	540 	389 
sil-C0i+C0j       	482 	386 
C0l-C0ing+C0l     	456 	386 
C0ing-C0l+C0ing   	411 	341 
sil-C0er+C0l      	345 	338 

step: 49
C0n-C0ian+sp      	1187	917 
C0i-C0j+C0iou     	1025	802 
C0er-C0l+C0ing    	764 	711 
C0iou-C0n+C0ian   	491 	428 
C0l-C0ing+C0i     	490 	425 
C0i-C0n+C0ian     	540 	389 
sil-C0i+C0j       	482 	386 
C0l-C0ing+C0l     	456 	386 
C0ing-C0l+C0ing   	411 	341 
sil-C0er+C0l      	345 	338 

step: 50
C0n-C0ian+sp      	1187	917 
C0i-C0j+C0iou     	1025	802 
C0er-C0l+C0ing    	764 	707 
C0iou-C0n+C0ian   	491 	427 
C0l-C0ing+C0i     	490 	422 
C0i-C0n+C0ian     	540 	389 
sil-C0i+C0j       	482 	386 
C0l-C0ing+C0l     	456 	385 
C0ing-C0l+C0ing   	411 	340 
sil-C0er+C0l      	345 	337 

step: 51
C0n-C0ian+sp      	1187	917 
C0i-C0j+C0iou     	1025	802 
C0er-C0l+C0ing    	764 	706 
C0iou-C0n+C0ian   	491 	427 
C0l-C0ing+C0i     	490 	421 
C0i-C0n+C0ian     	540 	388 
sil-C0i+C0j       	482 	386 
C0l-C0ing+C0l     	456 	385 
C0ing-C0l+C0ing   	411 	340 
sil-C0er+C0l      	345 	336 

step: 52
