triphone	desired number	missing number
C0l-C0ing+C0l     	456 	330 
C0ing-C0l+C0ing   	411 	293 

step: 138
C0n-C0ian+sp      	1187	862 
C0i-C0j+C0iou     	1025	705 
C0er-C0l+C0ing    	764 	633 
C0iou-C0n+C0ian   	491 	394 
C0l-C0ing+C0i     	490 	377 
sil-C0i+C0j       	482 	370 
C0i-C0n+C0ian     	540 	345 
sil-C0er+C0l      	345 	330 
C0l-C0ing+C0l     	456 	330 
C0ing-C0l+C0ing   	411 	293 

step: 139
C0n-C0ian+sp      	1187	862 
C0i-C0j+C0iou     	1025	705 
C0er-C0l+C0ing    	764 	632 
C0iou-C0n+C0ian   	491 	394 
C0l-C0ing+C0i     	490 	376 
sil-C0i+C0j       	482 	370 
C0i-C0n+C0ian     	540 	345 
sil-C0er+C0l      	345 	330 
C0l-C0ing+C0l     	456 	328 
C0ing-C0l+C0ing   	411 	291 

step: 140
C0n-C0ian+sp      	1187	859 
C0i-C0j+C0iou     	1025	699 
C0er-C0l+C0ing    	764 	632 
C0iou-C0n+C0ian   	491 	389 
C0l-C0ing+C0i     	490 	376 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	345 
sil-C0er+C0l      	345 	330 
C0l-C0ing+C0l     	456 	328 
C0ing-C0l+C0ing   	411 	291 

step: 141
C0n-C0ian+sp      	1187	859 
C0i-C0j+C0iou     	1025	699 
C0er-C0l+C0ing    	764 	631 
C0iou-C0n+C0ian   	491 	388 
C0l-C0ing+C0i     	490 	376 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	345 
sil-C0er+C0l      	345 	330 
C0l-C0ing+C0l     	456 	326 
C0ing-C0l+C0ing   	411 	290 

step: 142
C0n-C0ian+sp      	1187	859 
C0i-C0j+C0iou     	1025	699 
C0er-C0l+C0ing    	764 	630 
C0iou-C0n+C0ian   	491 	388 
C0l-C0ing+C0i     	490 	376 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	344 
sil-C0er+C0l      	345 	330 
C0l-C0ing+C0l     	456 	325 
C0ing-C0l+C0ing   	411 	289 

step: 143
C0n-C0ian+sp      	1187	858 
C0i-C0j+C0iou     	1025	698 
C0er-C0l+C0ing    	764 	630 
C0iou-C0n+C0ian   	491 	388 
C0l-C0ing+C0i     	490 	376 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	344 
sil-C0er+C0l      	345 	330 
C0l-C0ing+C0l     	456 	325 
C0ing-C0l+C0ing   	411 	289 

step: 144
C0n-C0ian+sp      	1187	857 
C0i-C0j+C0iou     	1025	698 
C0er-C0l+C0ing    	764 	628 
C0iou-C0n+C0ian   	491 	387 
C0l-C0ing+C0i     	490 	376 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	343 
sil-C0er+C0l      	345 	330 
C0l-C0ing+C0l     	456 	322 
C0ing-C0l+C0ing   	411 	287 

step: 145
C0n-C0ian+sp      	1187	849 
C0i-C0j+C0iou     	1025	698 
C0er-C0l+C0ing    	764 	628 
C0iou-C0n+C0ian   	491 	385 
C0l-C0ing+C0i     	490 	376 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	342 
sil-C0er+C0l      	345 	330 
C0l-C0ing+C0l     	456 	322 
C0ing-C0l+C0ing   	411 	287 

step: 146
C0n-C0ian+sp      	1187	849 
C0i-C0j+C0iou     	1025	698 
C0er-C0l+C0ing    	764 	624 
C0iou-C0n+C0ian   	491 	385 
C0l-C0ing+C0i     	490 	372 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	340 
sil-C0er+C0l      	345 	329 
C0l-C0ing+C0l     	456 	322 
C0ing-C0l+C0ing   	411 	287 

step: 147
C0n-C0ian+sp      	1187	849 
C0i-C0j+C0iou     	1025	698 
C0er-C0l+C0ing    	764 	623 
C0iou-C0n+C0ian   	491 	385 
C0l-C0ing+C0i     	490 	371 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	340 
sil-C0er+C0l      	345 	329 
C0l-C0ing+C0l     	456 	322 
C0ing-C0l+C0ing   	411 	287 

step: 148
C0n-C0ian+sp      	1187	845 
C0i-C0j+C0iou     	1025	692 
C0er-C0l+C0ing    	764 	623 
C0iou-C0n+C0ian   	491 	384 
C0l-C0ing+C0i     	490 	371 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	340 
sil-C0er+C0l      	345 	329 
C0l-C0ing+C0l     	456 	322 
C0ing-C0l+C0ing   	411 	287 

step: 149
C0n-C0ian+sp      	1187	844 
C0i-C0j+C0iou     	1025	692 
C0er-C0l+C0ing    	764 	622 
C0iou-C0n+C0ian   	491 	384 
C0l-C0ing+C0i     	490 	371 
sil-C0i+C0j       	482 	369 
C0i-C0n+C0ian     	540 	340 
sil-C0er+C0l      	345 	329 
C0l-C0ing+C0l     	456 	321 
C0ing-C0l+C0ing   	411 	286 

step: 150
C0n-C0ian+sp      	1187	843 
C0i-C0j+C0iou     	1025	691 
C0er-C0l+C0ing    	764 	619 
C0iou-C0n+C0ian   	491 	384 
sil-C0i+C0j       	482 	369 
C0l-C0ing+C0i     	490 	368 
C0i-C0n+C0ian     	540 	340 
sil-C0er+C0l      	345 	328 
C0l-C0ing+C0l     	456 	321 
C0ing-C0l+C0ing   	411 	286 

step: 151
C0n-C0ian+sp      	1187	841 
C0i-C0j+C0iou     	1025	688 
C0er-C0l+C0ing    	764 	619 
C0iou-C0n+C0ian   	491 	384 
sil-C0i+C0j       	482 	369 
C0l-C0ing+C0i     	490 	368 
C0i-C0n+C0ian     	540 	339 
sil-C0er+C0l      	345 	328 
C0l-C0ing+C0l     	456 	321 
C0ing-C0l+C0ing   	411 	286 

step: 152
C0n-C0ian+sp      	1187	834 
C0i-C0j+C0iou     	1025	679 
C0er-C0l+C0ing    	764 	619 
C0iou-C0n+C0ian   	491 	383 
sil-C0i+C0j       	482 	369 
C0l-C0ing+C0i     	490 	368 
C0i-C0n+C0ian     	540 	338 
sil-C0er+C0l      	345 	328 
C0l-C0ing+C0l     	456 	321 
C0ing-C0l+C0ing   	411 	286 

step: 153
C0n-C0ian+sp      	1187	830 
C0i-C0j+C0iou     	1025	678 
C0er-C0l+C0ing    	764 	618 
C0iou-C0n+C0ian   	491 	383 
sil-C0i+C0j       	482 	369 
C0l-C0ing+C0i     	490 	367 
C0i-C0n+C0ian     	540 	337 
sil-C0er+C0l      	345 	328 
C0l-C0ing+C0l     	456 	320 
C0ing-C0l+C0ing   	411 	285 

step: 154
C0n-C0ian+sp      	1187	829 
C0i-C0j+C0iou     	1025	678 
C0er-C0l+C0ing    	764 	616 
C0iou-C0n+C0ian   	491 	383 
sil-C0i+C0j       	482 	369 
C0l-C0ing+C0i     	490 	367 
C0i-C0n+C0ian     	540 	337 
sil-C0er+C0l      	345 	327 
C0l-C0ing+C0l     	456 	318 
C0ing-C0l+C0ing   	411 	283 

step: 155
C0n-C0ian+sp      	1187	829 
C0i-C0j+C0iou     	1025	677 
C0er-C0l+C0ing    	764 	613 
C0iou-C0n+C0ian   	491 	382 
sil-C0i+C0j       	482 	368 
C0l-C0ing+C0i     	490 	367 
C0i-C0n+C0ian     	540 	336 
sil-C0er+C0l      	345 	327 
C0l-C0ing+C0l     	456 	314 
C0ing-C0l+C0ing   	411 	280 

step: 156
C0n-C0ian+sp      	1187	829 
C0i-C0j+C0iou     	1025	677 
C0er-C0l+C0ing    	764 	613 
C0iou-C0n+C0ian   	491 	382 
sil-C0i+C0j       	482 	368 
C0l-C0ing+C0i     	490 	367 
C0i-C0n+C0ian     	540 	336 
sil-C0er+C0l      	345 	327 
C0l-C0ing+C0l     	456 	314 
C0ing-C0l+C0ing   	411 	280 

step: 157
C0n-C0ian+sp      	1187	827 
C0i-C0j+C0iou     	1025	675 
C0er-C0l+C0ing    	764 	613 
C0iou-C0n+C0ian   	491 	381 
sil-C0i+C0j       	482 	368 
C0l-C0ing+C0i     	490 	367 
C0i-C0n+C0ian     	540 	335 
sil-C0er+C0l      	345 	327 
C0l-C0ing+C0l     	456 	314 
C0ing-C0l+C0ing   	411 	280 

step: 158
C0n-C0ian+sp      	1187	827 
C0i-C0j+C0iou     	1025	675 
C0er-C0l+C0ing    	764 	611 
C0iou-C0n+C0ian   	491 	381 
sil-C0i+C0j       	482 	368 
C0l-C0ing+C0i     	490 	367 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	312 
C0ing-C0l+C0ing   	411 	278 

step: 159
C0n-C0ian+sp      	1187	827 
C0i-C0j+C0iou     	1025	675 
C0er-C0l+C0ing    	764 	610 
C0iou-C0n+C0ian   	491 	381 
sil-C0i+C0j       	482 	368 
C0l-C0ing+C0i     	490 	366 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	312 
C0ing-C0l+C0ing   	411 	278 

step: 160
C0n-C0ian+sp      	1187	827 
C0i-C0j+C0iou     	1025	675 
C0er-C0l+C0ing    	764 	610 
C0iou-C0n+C0ian   	491 	381 
sil-C0i+C0j       	482 	368 
C0l-C0ing+C0i     	490 	366 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	312 
C0ing-C0l+C0ing   	411 	278 

step: 161
C0n-C0ian+sp      	1187	827 
C0i-C0j+C0iou     	1025	674 
C0er-C0l+C0ing    	764 	609 
C0iou-C0n+C0ian   	491 	380 
sil-C0i+C0j       	482 	368 
C0l-C0ing+C0i     	490 	366 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	310 
C0ing-C0l+C0ing   	411 	277 

step: 162
C0n-C0ian+sp      	1187	825 
C0i-C0j+C0iou     	1025	671 
C0er-C0l+C0ing    	764 	607 
C0iou-C0n+C0ian   	491 	380 
sil-C0i+C0j       	482 	367 
C0l-C0ing+C0i     	490 	366 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	308 
C0ing-C0l+C0ing   	411 	275 

step: 163
C0n-C0ian+sp      	1187	825 
C0i-C0j+C0iou     	1025	670 
C0er-C0l+C0ing    	764 	606 
C0iou-C0n+C0ian   	491 	379 
sil-C0i+C0j       	482 	367 
C0l-C0ing+C0i     	490 	366 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	306 
C0ing-C0l+C0ing   	411 	274 

step: 164
C0n-C0ian+sp      	1187	825 
C0i-C0j+C0iou     	1025	670 
C0er-C0l+C0ing    	764 	605 
C0iou-C0n+C0ian   	491 	379 
sil-C0i+C0j       	482 	367 
C0l-C0ing+C0i     	490 	366 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	305 
C0ing-C0l+C0ing   	411 	273 

step: 165
C0n-C0ian+sp      	1187	824 
C0i-C0j+C0iou     	1025	669 
C0er-C0l+C0ing    	764 	605 
C0iou-C0n+C0ian   	491 	379 
sil-C0i+C0j       	482 	366 
C0l-C0ing+C0i     	490 	366 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	305 
C0ing-C0l+C0ing   	411 	273 

step: 166
C0n-C0ian+sp      	1187	824 
C0i-C0j+C0iou     	1025	665 
C0er-C0l+C0ing    	764 	605 
C0iou-C0n+C0ian   	491 	379 
C0l-C0ing+C0i     	490 	366 
sil-C0i+C0j       	482 	365 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	305 
C0ing-C0l+C0ing   	411 	273 

step: 167
C0n-C0ian+sp      	1187	824 
C0i-C0j+C0iou     	1025	664 
C0er-C0l+C0ing    	764 	605 
C0iou-C0n+C0ian   	491 	379 
C0l-C0ing+C0i     	490 	366 
sil-C0i+C0j       	482 	365 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	305 
C0ing-C0l+C0ing   	411 	273 

step: 168
C0n-C0ian+sp      	1187	824 
C0i-C0j+C0iou     	1025	664 
C0er-C0l+C0ing    	764 	604 
C0iou-C0n+C0ian   	491 	379 
sil-C0i+C0j       	482 	365 
C0l-C0ing+C0i     	490 	365 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	305 
C0ing-C0l+C0ing   	411 	273 

step: 169
C0n-C0ian+sp      	1187	824 
C0i-C0j+C0iou     	1025	663 
C0er-C0l+C0ing    	764 	604 
C0iou-C0n+C0ian   	491 	379 
sil-C0i+C0j       	482 	365 
C0l-C0ing+C0i     	490 	365 
C0i-C0n+C0ian     	540 	333 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	305 
C0ing-C0l+C0ing   	411 	273 

step: 170
C0n-C0ian+sp      	1187	820 
C0i-C0j+C0iou     	1025	661 
C0er-C0l+C0ing    	764 	599 
C0iou-C0n+C0ian   	491 	377 
sil-C0i+C0j       	482 	365 
C0l-C0ing+C0i     	490 	364 
C0i-C0n+C0ian     	540 	332 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	300 
XX-sil+C0er       	431 	271 

step: 171
C0n-C0ian+sp      	1187	820 
C0i-C0j+C0iou     	1025	659 
C0er-C0l+C0ing    	764 	599 
C0iou-C0n+C0ian   	491 	377 
sil-C0i+C0j       	482 	365 
C0l-C0ing+C0i     	490 	364 
C0i-C0n+C0ian     	540 	332 
sil-C0er+C0l      	345 	326 
C0l-C0ing+C0l     	456 	300 
XX-sil+C0er       	431 	271 

step: 172
C0n-C0ian+sp      	1187	820 
C0i-C0j+C0iou     	1025	659 
C0er-C0l+C0ing    	764 	595 
C0iou-C0n+C0ian   	491 	375 
sil-C0i+C0j       	482 	365 
C0l-C0ing+C0i     	490 	361 
C0i-C0n+C0ian     	540 	331 
sil-C0er+C0l      	345 	325 
C0l-C0ing+C0l     	456 	299 
XX-sil+C0er       	431 	270 

step: 173
C0n-C0ian+sp      	1187	820 
C0i-C0j+C0iou     	1025	659 
C0er-C0l+C0ing    	764 	595 
C0iou-C0n+C0ian   	491 	375 
sil-C0i+C0j       	482 	365 
C0l-C0ing+C0i     	490 	361 
C0i-C0n+C0ian     	540 	331 
sil-C0er+C0l      	345 	325 
C0l-C0ing+C0l     	456 	299 
XX-sil+C0er       	431 	270 

step: 174
C0n-C0ian+sp      	1187	820 
C0i-C0j+C0iou     	1025	659 
C0er-C0l+C0ing    	764 	592 
C0iou-C0n+C0ian   	491 	375 
sil-C0i+C0j       	482 	365 
C0l-C0ing+C0i     	490 	358 
C0i-C0n+C0ian     	540 	331 
sil-C0er+C0l      	345 	324 
C0l-C0ing+C0l     	456 	299 
XX-sil+C0er       	431 	269 

step: 175
C0n-C0ian+sp      	1187	818 
C0i-C0j+C0iou     	1025	656 
C0er-C0l+C0ing    	764 	592 
C0iou-C0n+C0ian   	491 	374 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	358 
C0i-C0n+C0ian     	540 	330 
sil-C0er+C0l      	345 	324 
C0l-C0ing+C0l     	456 	299 
XX-sil+C0er       	431 	269 

step: 176
C0n-C0ian+sp      	1187	817 
C0i-C0j+C0iou     	1025	656 
C0er-C0l+C0ing    	764 	589 
C0iou-C0n+C0ian   	491 	372 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	358 
C0i-C0n+C0ian     	540 	329 
sil-C0er+C0l      	345 	324 
C0l-C0ing+C0l     	456 	294 
XX-sil+C0er       	431 	269 

step: 177
C0n-C0ian+sp      	1187	817 
C0i-C0j+C0iou     	1025	652 
C0er-C0l+C0ing    	764 	589 
C0iou-C0n+C0ian   	491 	371 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	358 
C0i-C0n+C0ian     	540 	328 
sil-C0er+C0l      	345 	324 
C0l-C0ing+C0l     	456 	294 
XX-sil+C0er       	431 	269 

step: 178
C0n-C0ian+sp      	1187	816 
C0i-C0j+C0iou     	1025	650 
C0er-C0l+C0ing    	764 	588 
C0iou-C0n+C0ian   	491 	368 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	358 
C0i-C0n+C0ian     	540 	328 
sil-C0er+C0l      	345 	324 
C0l-C0ing+C0l     	456 	293 
XX-sil+C0er       	431 	269 

step: 179
C0n-C0ian+sp      	1187	816 
C0i-C0j+C0iou     	1025	650 
C0er-C0l+C0ing    	764 	588 
C0iou-C0n+C0ian   	491 	368 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	358 
C0i-C0n+C0ian     	540 	328 
sil-C0er+C0l      	345 	324 
C0l-C0ing+C0l     	456 	293 
XX-sil+C0er       	431 	269 

step: 180
C0n-C0ian+sp      	1187	816 
C0i-C0j+C0iou     	1025	650 
C0er-C0l+C0ing    	764 	588 
C0iou-C0n+C0ian   	491 	368 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	358 
C0i-C0n+C0ian     	540 	328 
sil-C0er+C0l      	345 	324 
C0l-C0ing+C0l     	456 	293 
XX-sil+C0er       	431 	269 

step: 181
C0n-C0ian+sp      	1187	816 
C0i-C0j+C0iou     	1025	648 
C0er-C0l+C0ing    	764 	588 
C0iou-C0n+C0ian   	491 	367 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	358 
C0i-C0n+C0ian     	540 	328 
sil-C0er+C0l      	345 	324 
C0l-C0ing+C0l     	456 	293 
XX-sil+C0er       	431 	269 

step: 182
C0n-C0ian+sp      	1187	816 
C0i-C0j+C0iou     	1025	648 
C0er-C0l+C0ing    	764 	583 
C0iou-C0n+C0ian   	491 	367 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	356 
C0i-C0n+C0ian     	540 	326 
sil-C0er+C0l      	345 	323 
C0l-C0ing+C0l     	456 	292 
XX-sil+C0er       	431 	268 

step: 183
C0n-C0ian+sp      	1187	815 
C0i-C0j+C0iou     	1025	646 
C0er-C0l+C0ing    	764 	583 
C0iou-C0n+C0ian   	491 	367 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	356 
C0i-C0n+C0ian     	540 	326 
sil-C0er+C0l      	345 	323 
C0l-C0ing+C0l     	456 	292 
XX-sil+C0er       	431 	268 

step: 184
C0n-C0ian+sp      	1187	814 
C0i-C0j+C0iou     	1025	646 
C0er-C0l+C0ing    	764 	581 
C0iou-C0n+C0ian   	491 	366 
sil-C0i+C0j       	482 	364 
C0l-C0ing+C0i     	490 	356 
C0i-C0n+C0ian     	540 	326 
sil-C0er+C0l      	345 	323 
C0l-C0ing+C0l     	456 	290 
XX-sil+C0er       	431 	268 

step: 185
C0n-C0ian+sp      	1187	814 
C0i-C0j+C0iou     	1025	642 
C0er-C0l+C0ing    	764 	581 
C0iou-C0n+C0ian   	491 	364 
sil-C0i+C0j       	482 	363 
C0l-C0ing+C0i     	490 	356 
C0i-C0n+C0ian     	540 	326 
sil-C0er+C0l      	345 	323 
C0l-C0ing+C0l     	456 	290 
XX-sil+C0er       	431 	268 

